name,label,type,units,id,outcome,hazard,ind,hh,firm,area,interact,fe
computer,Ownership of a computer,logical,NA,0,0,0,0,1,0,0,0,0
internet,Household has access to internet (within or outside the house),logical,NA,0,0,0,0,1,0,0,1,0
radio,Ownership of a radio,logical,NA,0,0,0,0,1,0,0,0,0
tv,Ownership of a tv,logical,NA,0,0,0,0,1,0,0,0,0
fridge,Ownership of a refrigerator,logical,NA,0,0,0,0,1,0,0,0,0
washmach,Ownership of a washing machine,logical,NA,0,0,0,0,1,0,0,0,0
stove,Ownership of a stove,logical,NA,0,0,0,0,1,0,0,0,0
fan,Ownership of an electric fan,logical,NA,0,0,0,0,1,0,0,1,0
ac,Ownership of an air conditioner,logical,NA,0,0,0,0,1,0,0,1,0
car,Ownership of a car,logical,NA,0,0,0,0,1,0,0,1,0
bcycle,Ownership of a bicycle,logical,NA,0,0,0,0,1,0,0,1,0
mcycle,Ownership of a motorcycle,logical,NA,0,0,0,0,1,0,0,1,0
boat,Ownership of a boat,logical,NA,0,0,0,0,1,0,0,0,0
rooms,Number of habitable rooms,integer,NA,0,0,0,0,1,0,0,0,0
ownhouse,Own house,logical,NA,0,0,0,0,1,0,0,1,0
renthouse,Rent house,logical,NA,0,0,0,0,1,0,0,0,0
ownland,Ownership of residential land,logical,NA,0,0,0,0,1,0,0,1,0
agriland,Use agricultural land,logical,NA,0,0,0,0,1,0,0,1,0
ownagriland,Own agricultural land,logical,NA,0,0,0,0,1,0,0,1,0
road_density,Road density,numeric,m/km^2,0,0,0,0,0,0,1,0,0
pop_road_2km,Percent of population living within 2km of an all season road,numeric,%,0,0,0,0,0,0,1,0,0
ttime_city,Travel time to nearest urban centre,numeric,minutes,0,0,0,0,0,0,1,1,0
ttime_health,Motorized travel time to nearest health care facility,numeric,minutes,0,0,0,0,0,0,1,0,0
viirs_ntl,VIIRS nighttime lights brightness for survey year,numeric,nW/cm^2/sr,0,0,0,0,0,0,1,0,0
viirs_ntl_5y,Percent change in VIIRS nighttime lights brightness (5 years),numeric,%,0,0,0,0,0,0,1,0,0
flood_pop_pct,Percent of population exposed to 1 in 100 year flood > 15 cm,numeric,%,0,0,0,0,0,0,1,0,0
built_area,Built up area  (H3 level 6),numeric,km^2,0,0,0,0,0,0,1,0,0
area_h3_6,Area of spatial unit (H3 level 6),numeric,km^2,0,0,0,0,0,0,1,0,0
area_h3_7,Area of spatial unit (H3 level 7),numeric,km^2,0,0,0,0,0,0,1,0,0
dou_11_pop,Percent of population in very low density areas,numeric,%,0,0,0,0,0,0,1,0,0
dou_12_pop,Percent of population in low density areas,numeric,%,0,0,0,0,0,0,1,0,0
dou_13_pop,Percent of population in rural areas,numeric,%,0,0,0,0,0,0,1,0,0
dou_21_pop,Percent of population in suburban areas,numeric,%,0,0,0,0,0,0,1,0,0
dou_22_pop,Percent of population in semi-dense urban clusters,numeric,%,0,0,0,0,0,0,1,0,0
dou_23_pop,Percent of population in dense urban clusters,numeric,%,0,0,0,0,0,0,1,0,0
dou_30_pop,Percent of population in urban centers,numeric,%,0,0,0,0,0,0,1,0,0
pop_2020,Population of spatial unit in 2020,numeric,people,0,0,0,0,0,0,1,0,0
pop_2020_density,Population density in 2020,numeric,people/km^2,0,0,0,0,0,0,1,0,0
pop_2020_f,Percent of population female,numeric,%,0,0,0,0,0,0,1,0,0
pop_2020_m,Percent of population male,numeric,%,0,0,0,0,0,0,1,0,0
t,Monthly temperature,numeric,°C,0,0,1,0,0,0,0,0,0
tn,Monthly daily minimum temperature,numeric,°C,0,0,1,0,0,0,0,0,0
tx,Monthly daily maximum temperature,numeric,°C,0,0,1,0,0,0,0,0,0
tx35,Monthly extreme hot days,numeric,days,0,0,1,0,0,0,0,0,0
tr,Monthly tropical nights,numeric,days,0,0,1,0,0,0,0,0,0
r,Monthly precipitation,numeric,mm,0,0,1,0,0,0,0,0,0
rx5day,Monthly maximum 5-day precipitation,numeric,mm,0,0,1,0,0,0,0,0,0
r20,Monthly very heavy precipitation days,numeric,days,0,0,1,0,0,0,0,0,0
mrsos,Monthly soil moisture in upper soil portion,numeric,kg m-2,0,0,1,0,0,0,0,0,0
spei6,Monthly SPEI-6,numeric,NA,0,0,1,0,0,0,0,0,0
